Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	1	100	Song	KE	0	0.00031000
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	32	100	Song	IN	0	0.00396300
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	4	100	Song	KR	0	0.01421799
2022-01-22	2021-11	Spotify	laikd	Useless	QZMEQ2166616	196400733881	14	100	Song	US	0	0.06575295
2022-01-22	2021-11	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	857	100	Song	SE	0	3.48696390
2022-01-22	2021-11	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	1	100	Song	DE	0	0.00260094
2022-01-22	2021-11	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	3	100	Song	JP	0	0.01035952
2022-01-22	2021-11	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	1	100	Song	NO	0	0.00767809
2022-01-22	2021-11	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	4	100	Song	IN	0	0.00040200
2022-01-22	2021-11	Spotify	laikd	Can You Hear Me	QZNWT2108908	196511414778	7	100	Song	US	0	0.03245497
2022-02-20	2021-10	NetEase	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	US	0	0.00086240
2022-02-20	2021-10	NetEase	laikd	Useless	QZMEQ2166616	196400733881	4	100	Song	US	0	0.00053293
2022-02-20	2021-10	NetEase	laikd	Useless	QZMEQ2166616	196400733881	4	100	Song	US	0	0.00344960
2022-02-09	2021-11	YouTube (Ads)	laikd	Monster	QZMEQ2103063	196397144486	0	100	Song	IT	0	0.00210000
2022-02-09	2021-11	YouTube (Ads)	laikd	Monster	QZMEQ2103063	196397144486	1	100	Song	NO	0	0.00842600
2022-02-09	2021-11	YouTube (Ads)	laikd	Can You Hear Me	QZNWT2108908	196511414778	1	100	Song	TW	0	0.00028500
2022-02-09	2021-11	YouTube (Ads)	laikd	Can You Hear Me	QZNWT2108908	196511414778	1	100	Song	US	0	0.00229200
2022-02-09	2021-11	YouTube (Ads)	laikd	Can You Hear Me	QZNWT2108908	196511414778	1	100	Song	SE	0	0.00480800
